title,year,rating,no_of_reviews,genres,runtime,gross
R.I.P.D.,2013.0,5.6,"139,201","
Action, Adventure, Comedy            ",96 min,$33.62M
Last Seen Alive,2022.0,5.6,"24,792","
Action, Mystery, Thriller            ",95 min,
The Pacifier,2005.0,5.6,"97,197","
Action, Comedy, Drama            ",95 min,$113.09M
Men in Black: International,2019.0,5.6,"138,918","
Action, Adventure, Comedy            ",114 min,$80.00M
You Don't Mess with the Zohan,2008.0,5.6,"207,052","
Action, Comedy            ",113 min,$100.02M
The Dark Tower,2017.0,5.6,"141,640","
Action, Adventure, Fantasy            ",95 min,$50.70M
Assassin's Creed,2016.0,5.6,"202,678","
Action, Adventure, Sci-Fi            ",115 min,$54.65M
Alexander,2004.0,5.6,"172,603","
Action, Biography, Drama            ",175 min,$34.30M
Hulk,2003.0,5.6,"272,219","
Action, Sci-Fi            ",138 min,$132.18M
Alien vs. Predator,2004.0,5.6,"205,086","
Action, Adventure, Horror            ",101 min,$80.28M
Raw Deal,1986.0,5.6,"35,737","
Action, Crime, Thriller            ",106 min,$16.21M
The Marksman,2021.0,5.6,"39,669","
Action, Drama, Thriller            ",108 min,
Pacific Rim: Uprising,2018.0,5.6,"120,791","
Action, Adventure, Fantasy            ",111 min,$59.87M
The Ice Road,2021.0,5.6,"43,652","
Action, Adventure, Thriller            ",109 min,
Fantastic Four: Rise of the Silver Surfer,2007.0,5.6,"270,499","
Action, Adventure, Fantasy            ",92 min,$131.92M
Chillerama,2011.0,5.6,"4,647","
Action, Comedy, Horror            ",120 min,
Timeline,2003.0,5.6,"64,364","
Action, Adventure, Sci-Fi            ",116 min,$19.48M
The Princess,2022.0,5.6,"14,241","
Action, Drama, Fantasy            ",94 min,
Judge Dredd,1995.0,5.6,"120,939","
Action, Crime, Sci-Fi            ",96 min,$34.69M
Machete Kills,2013.0,5.6,"80,488","
Action, Crime, Thriller            ",107 min,$8.01M
The Specialist,1994.0,5.6,"67,731","
Action, Drama, Thriller            ",110 min,$57.36M
Hold the Dark,2018.0,5.6,"38,721","
Action, Crime, Drama            ",125 min,
Jolt,2021.0,5.6,"33,027","
Action, Comedy, Crime            ",91 min,
Inside Man: Most Wanted,2019.0,5.6,"4,327","
Action, Crime, Thriller            ",105 min,
Jay and Silent Bob Reboot,2019.0,5.6,"27,028","
Action, Adventure, Comedy            ",105 min,
Chain Reaction,1996.0,5.6,"53,903","
Action, Drama, Sci-Fi            ",107 min,$20.55M
Johnny Mnemonic,1995.0,5.6,"73,702","
Action, Drama, Sci-Fi            ",96 min,$19.08M
National Security,2003.0,5.6,"52,324","
Action, Comedy, Crime            ",88 min,$36.38M
Double Impact,1991.0,5.6,"42,178","
Action, Crime            ",110 min,$30.10M
The Kitchen,2019.0,5.6,"22,023","
Action, Crime, Drama            ",102 min,$12.05M
Monster Trucks,2016.0,5.6,"17,878","
Action, Adventure, Comedy            ",104 min,$33.37M
"No Retreat, No Surrender",1985.0,5.6,"17,867","
Action, Comedy, Crime            ",85 min,$4.66M
Knights of Badassdom,2013.0,5.6,"21,049","
Action, Adventure, Comedy            ",86 min,$0.09M
The Pink Panther 2,2009.0,5.6,"46,535","
Action, Adventure, Comedy            ",92 min,$35.92M
The Perfect Snob,1941.0,6.4,67,"
Comedy, Romance            ",63 min,
We're in the Money,1935.0,6.4,440,"
Adventure, Comedy, Music            ",66 min,
"Jack, Jules, Esther & Me",2013.0,6.4,84,"
Comedy, Drama, Romance            ",106 min,
Confidence Game,2016.0,6.4,22,"
Crime, Drama, Mystery            ",110 min,
Sweetie,1929.0,6.4,89,"
Music, Romance, Sport            ",95 min,
Beau Sabreur,1928.0,6.4,61,"
Adventure, Romance            ",70 min,
She Couldn't Take It,1935.0,6.4,167,"
Comedy, Music, Romance            ",77 min,
Me & Mrs. Jones,2001.0,6.4,69,"
Comedy, Romance            ",99 min,
Most Precious Thing in Life,1934.0,6.4,116,"
Drama, Romance, Sport            ",67 min,
The Younger Generation,1929.0,6.4,323,"
Drama, Romance            ",75 min,
Beauty's Worth,1922.0,6.4,900,"
Comedy, Drama, Romance            ",112 min,
Two in a Crowd,1936.0,6.4,81,"
Comedy, Music, Romance            ",85 min,
Born in Jerusalem and Still Alive,2019.0,6.4,64,"
Comedy, Drama, Romance            ",83 min,
The Go Getter,1937.0,6.4,235,"
Comedy, Music, Romance            ",92 min,
My American Wife,1936.0,6.4,69,"
Comedy, Music, Romance            ",65 min,
Rum and Coke,1999.0,6.4,75,"
Comedy, Romance            ",93 min,
New York Town,1941.0,6.4,79,"
Comedy, Music, Romance            ",94 min,
The Lady from the Sea,1929.0,6.4,28,"
Romance            ",56 min,
The Walls Came Tumbling Down,1946.0,6.4,87,"
Crime, Mystery, Romance            ",82 min,
Smartest Girl in Town,1936.0,6.4,288,"
Comedy, Romance            ",58 min,
15 Maiden Lane,1936.0,6.4,72,"
Crime, Drama, Music            ",65 min,
Ringside Maisie,1941.0,6.4,411,"
Comedy, Drama, Romance            ",95 min,
Wild Harvest,1962.0,6.4,22,"
Drama, Romance            ",80 min,
Hitch-Hike,1962.0,6.4,125,"
Adventure, Comedy, Romance            ",95 min,
The Adventurous Blonde,1937.0,6.4,522,"
Comedy, Mystery, Romance            ",61 min,
Manhattan Tower,1932.0,6.4,238,"
Crime, Drama, Mystery            ",67 min,
"Raffles, the Amateur Cracksman",1917.0,6.4,176,"
Adventure, Crime, Romance            ",70 min,
Night Life of the Gods,1935.0,6.4,107,"
Comedy, Fantasy, Romance            ",73 min,
5th World,2005.0,6.4,46,"
Drama, Romance            ",75 min,
Broadway Gondolier,1935.0,6.4,279,"
Comedy, Musical, Romance            ",99 min,
Ma quando arrivano le ragazze?,2005.0,6.4,404,"
Comedy, Drama, Romance            ",106 min,
Amateur Daddy,1932.0,6.4,13,"
Drama, Romance            ",71 min,
Panama Flo,1932.0,6.4,205,"
Adventure, Drama, Romance            ",73 min,
I'm from Missouri,1939.0,6.4,20,"
Comedy, Romance            ",80 min,
Thanks for Everything,1938.0,6.4,57,"
Comedy, Romance            ",70 min,
Three Loves Has Nancy,1938.0,6.4,496,"
Comedy, Music, Romance            ",70 min,
Cafe Society,1939.0,6.4,103,"
Comedy, Romance            ",83 min,
Perfect Break,2020.0,6.4,28,"
Comedy, Romance, Sport            ",92 min,
Hrid Majharey: Live in My Heart!,2014.0,6.4,230,"
Romance            ",122 min,
Break of Day,1976.0,6.4,49,"
Drama, History, Romance            ",112 min,
Art Idol,2012.0,6.4,44,"
Comedy, Drama, Romance            ",90 min,
The Inquisition of Camilo Sanz,2014.0,6.4,37,"
Drama, Romance            ",107 min,
Tell Me in the Sunlight,1965.0,6.4,46,"
Romance, Drama            ",82 min,
The Delta Force,1986.0,5.6,"21,059","
Action, Adventure, Drama            ",125 min,$17.77M
MacGruber,2010.0,5.6,"46,302","
Action, Comedy            ",90 min,$8.46M
Once There Was a Tiger,2012.0,5.6,"36,113","
Action, Adventure, Romance            ",132 min,$2.35M
America: The Motion Picture,2021.0,5.6,"6,888","
Animation, Action, Adventure            ",98 min,
Brick Mansions,2014.0,5.6,"43,179","
Action, Crime, Thriller            ",90 min,$20.29M
Sniper: Ultimate Kill,2017.0,5.6,"5,268","
Action, Drama, Thriller            ",90 min,
Exit Wounds,2001.0,5.6,"36,132","
Action, Crime, Thriller            ",101 min,$51.76M
Sleepless,2017.0,5.6,"33,307","
Action, Thriller            ",95 min,$20.78M
Skiptrace,2016.0,5.6,"21,571","
Action, Adventure, Comedy            ",107 min,$0.00M
The Skulls,2000.0,5.6,"32,941","
Action, Crime, Drama            ",106 min,$35.05M
The Quest,1996.0,5.6,"26,934","
Action, Adventure, Drama            ",95 min,$21.60M
Invasion,2020.0,5.6,"5,648","
Action, Sci-Fi            ",134 min,
The Ice Pirates,1984.0,5.6,"11,313","
Action, Adventure, Comedy            ",91 min,$14.26M
Twelve,2010.0,5.6,"12,427","
Action, Drama, Thriller            ",93 min,$0.18M
Batman Ninja,2018.0,5.6,"21,210","
Animation, Action, Sci-Fi            ",85 min,
Nekrotronic,2018.0,5.6,"3,418","
Action, Comedy, Horror            ",99 min,
The Big Bus,1976.0,5.6,"3,495","
Action, Comedy            ",88 min,$3.54M
Drop Zone,1994.0,5.6,"21,010","
Action, Adventure, Thriller            ",101 min,$28.72M
12 Rounds,2009.0,5.6,"29,638","
Action, Crime, Thriller            ",108 min,$12.23M
Seal Team,2021.0,5.6,"1,609","
Animation, Action, Comedy            ",101 min,
Catwoman: Hunted,2022.0,5.6,"3,021","
Animation, Action, Crime            ",78 min,
Dolemite,1975.0,5.6,"6,550","
Action, Comedy, Crime            ",90 min,$0.24M
Birth of the Dragon,2016.0,5.6,"8,543","
Action, Biography, Drama            ",95 min,$6.90M
5 Days of War,2011.0,5.6,"14,082","
Action, Drama, War            ",113 min,$0.02M
Death in Texas,2020.0,5.6,689,"
Action, Drama            ",101 min,
Bang Bang,2014.0,5.6,"25,000","
Action, Adventure, Comedy            ",153 min,$2.55M
Condorman,1981.0,5.6,"5,129","
Action, Adventure, Comedy            ",90 min,
The Wild Angels,1966.0,5.6,"3,172","
Action, Drama, Thriller            ",93 min,
Death Machine,1994.0,5.6,"4,586","
Action, Horror, Sci-Fi            ",120 min,$1.42M
George and the Dragon,2004.0,5.6,"4,130","
Action, Adventure, Comedy            ",93 min,
Hatchet III,2013.0,5.6,"9,913","
Action, Comedy, Horror            ",81 min,
Metro,1997.0,5.6,"28,269","
Action, Comedy, Crime            ",117 min,$31.99M
American Yakuza,1993.0,5.6,"2,734","
Action, Crime, Drama            ",96 min,
Miami Connection,1987.0,5.6,"6,130","
Action, Crime, Music            ",87 min,
Infidel,2019.0,5.6,"3,530","
Action, Thriller            ",108 min,
Term Life,2016.0,5.6,"8,399","
Action, Crime, Drama            ",93 min,$0.01M
Tracers,2015.0,5.6,"19,718","
Action, Crime, Drama            ",94 min,$0.00M
Walkaway Joe,2020.0,5.6,"1,256","
Action, Drama            ",89 min,
Lady Bloodfight,2016.0,5.6,"3,131","
Action, Crime, Drama            ",100 min,
"Fear, Inc.",2016.0,5.6,"5,400","
Action, Comedy, Horror            ",90 min,
"Ultramarines: A Warhammer 40,000 Movie",2010.0,5.6,"6,102","
Animation, Action, Fantasy            ",76 min,
The Magnificent Seven Ride!,1972.0,5.6,"3,126","
Action, Western            ",100 min,
Escape to Athena,1979.0,5.6,"5,431","
Action, Adventure, Comedy            ",125 min,
Highwaymen,2004.0,5.6,"9,140","
Action, Crime, Horror            ",80 min,$0.37M
The Numbers Station,2013.0,5.6,"20,459","
Action, Thriller            ",89 min,
Deuces Wild,2002.0,5.6,"7,637","
Action, Drama            ",96 min,$6.04M
The Case of the Red Monkey,1955.0,5.6,170,"
Action, Adventure, Crime            ",71 min,
Taffin,1988.0,5.6,"1,976","
Action, Thriller            ",96 min,$0.16M
Eye of the Tiger,1986.0,5.6,"2,280","
Action, Drama            ",92 min,
The Samaritan,2012.0,5.6,"10,089","
Action, Crime, Drama            ",90 min,$0.00M
The Hatton Garden Job,2017.0,5.6,"6,203","
Action, Crime, Thriller            ",93 min,
The Legend of Zelda: A Link to the Past,2020.0,5.6,29,"
Action, Adventure, Fantasy            ",45 min,
Live Wire,1992.0,5.6,"3,734","
Action, Drama, Thriller            ",85 min,
Red Line 7000,1965.0,5.6,"1,083","
Action, Drama, Sport            ",110 min,
East of the Mountains,2021.0,5.6,919,"
Action, Drama            ",93 min,
Free Ride,2013.0,5.6,"2,410","
Action, Drama, Thriller            ",86 min,
Stick,1985.0,5.6,"2,198","
Action, Crime, Drama            ",109 min,$8.49M
Return to Return to Nuke 'Em High Aka Vol. 2,2017.0,5.6,"2,237","
Action, Adventure, Comedy            ",85 min,
Jet Pilot,1957.0,5.6,"2,564","
Action, Drama, Romance            ",113 min,
Blue Iguana,2018.0,5.6,"6,684","
Action, Comedy, Crime            ",100 min,
Home of the Brave,2006.0,5.6,"11,071","
Action, Drama, War            ",106 min,$0.05M
Herbie Goes to Monte Carlo,1977.0,5.6,"7,771","
Action, Adventure, Comedy            ",105 min,
For Queen & Country,1988.0,5.6,"2,522","
Action, Crime, Drama            ",105 min,$0.19M
Danger One,2018.0,5.6,"5,058","
Action, Comedy, Crime            ",101 min,
Hot Tamale,2006.0,5.6,"1,251","
Action, Comedy, Crime            ",102 min,
Men of War,1994.0,5.6,"4,371","
Action, Drama, Thriller            ",102 min,
No Surrender,2018.0,5.6,"2,093","
Action, Crime, History            ",114 min,
The Thing Returns,2021.0,5.6,320,"
Action, Horror, Sci-Fi            ",101 min,
The Flower in Hell,1958.0,6.4,193,"
Crime, Drama, Romance            ",87 min,
Never Die Alone,2004.0,5.6,"5,967","
Action, Crime, Drama            ",88 min,$5.64M
The Death Collector,1976.0,5.6,930,"
Action, Crime, Drama            ",85 min,
Year of the Gun,1991.0,5.6,"2,802","
Action, Romance, Thriller            ",111 min,$1.18M
Skin Trade,2014.0,5.6,"8,297","
Action, Crime, Thriller            ",96 min,$0.00M
Fat Pizza,2003.0,5.6,"3,690","
Action, Adventure, Comedy            ",96 min,
Hanky Panky,1982.0,5.6,"2,867","
Action, Comedy, Crime            ",110 min,$9.82M
Company Business,1991.0,5.6,"3,075","
Action, Comedy, Crime            ",98 min,$1.50M
Rangoon,2017.0,5.6,"4,916","
Action, Drama, History            ",170 min,
Shamelessly She-Hulk,2009.0,5.6,90,"
Action, Comedy, Drama            ",90 min,
Webgirl,2014.0,6.4,44,"
Comedy, Romance            ",91 min,
Blonde Trouble,1937.0,6.4,20,"
Comedy, Music, Romance            ",67 min,
Who Will Save the Roses?,2017.0,6.4,103,"
Drama, Romance            ",103 min,
My Engagement Party,1998.0,6.4,34,"
Comedy, Romance            ",94 min,
The Great Impersonation,1935.0,6.4,83,"
Drama, Romance            ",68 min,
The Matrimaniac,1916.0,6.4,630,"
Comedy, Romance            ",46 min,
Lady of Secrets,1936.0,6.4,60,"
Drama, Romance            ",73 min,
The Frog,1937.0,6.4,37,"
Adventure, Crime, Mystery            ",60 min,
Detective Chinatown 3,2021.0,5.6,"2,280","
Action, Adventure, Comedy            ",136 min,
Stag,1997.0,5.6,"1,057","
Action, Drama, Thriller            ",91 min,
Kill Buljo: The Movie,2007.0,5.6,"4,073","
Action, Adventure, Comedy            ",93 min,
Tidal Wave,2009.0,5.6,"4,779","
Action, Comedy, Drama            ",120 min,
They Call Me Bruce,1982.0,5.6,"1,746","
Action, Comedy            ",87 min,$16.89M
Skyjacked,1972.0,5.6,"2,174","
Action, Drama, Thriller            ",101 min,$2.50M
Thou Shalt Not Kill... Except,1985.0,5.6,905,"
Action, Adventure, Horror            ",84 min,
2019: After the Fall of New York,1983.0,5.6,"3,177","
Action, Sci-Fi            ",96 min,
Pulling Push Doors,2017.0,6.4,34,"
Comedy, Drama, Romance            ",85 min,
Lady Tubbs,1935.0,6.4,30,"
Comedy, Romance            ",69 min,
Uptown New York,1932.0,6.4,152,"
Drama, Romance            ",80 min,
La virgen de la Caridad,1930.0,6.4,57,"
Drama, Romance            ",72 min,
The Widow from Chicago,1930.0,6.4,420,"
Crime, Drama, Romance            ",64 min,
